"PLU","CATEGORY","COMMODITY","VARIETY","ADDITIONAL VARIETY INFO","SIZE","NA SIZE","ROW SIZE","RESTRICTIONS","NOTES","AKA","TRADEMARK","BOTANICAL NAME","REVISION DATE","DATE ADDED","GPC","IMAGE"
"3000","","APPLES","Alkmene","","","","","","","","","Malus pumila","2017-02-07 15:12:04","1999-12-31 00:00:00","10005900",""
"3001","","APPLES","Aurora/Southern Rose","","Small","100 size and smaller","Average Fruit Weight = less than 205g","","","","","Malus pumila","2016-04-07 23:21:26","1999-12-31 00:00:00","10005900",""
"3002","","APPLES","Cantared","","","","","","","","","Malus pumila","2016-04-07 23:22:02","1999-12-31 00:00:00","10005900",""
"3003","","APPLES","D'Estivale","","","","","","","","","Malus pumila","1999-12-31 00:00:00","1999-12-31 00:00:00","10005900",""
"3004","","APPLES","Discovery","","","","","","","","","Malus pumila","1999-12-31 00:00:00","1999-12-31 00:00:00","10005900",""
"3005","","APPLES","Golden Delicious Blush","","","","","","","","","Malus pumila","1999-12-31 00:00:00","1999-12-31 00:00:00","10005900",""
"3006","","APPLES","Ingrid Marie","","","","","","","","","Malus pumila","1999-12-31 00:00:00","1999-12-31 00:00:00","10005900",""
"3007","","APPLES","Lochbuie","","","","","","","","","Malus pumila","1999-12-31 00:00:00","1999-12-31 00:00:00","10005900",""
"3008","","APPLES","Rubinette","","","","","","","","","Malus pumila","1999-12-31 00:00:00","1999-12-31 00:00:00","10005900",""
"3009","","APPLES","Russet","","","","","","","","","Malus pumila","1999-12-31 00:00:00","1999-12-31 00:00:00","10005900",""
"3010","","APPLES","Cripps Red","","Small","100 size and smaller","Average Fruit Weight = less than 205g","","","Sundowner","","Malus pumila","1999-12-31 00:00:00","1999-12-31 00:00:00","10005900",""
"3011","","APPLES","Worcester","","","","","","","","","Malus pumila","1999-12-31 00:00:00","1999-12-31 00:00:00","10005900",""
"3012","","PEARS","Abate Fetel","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"3013","","PEARS","Beurre Hardy","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"3014","","PEARS","Bon Rouge","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"3015","","PEARS","Clara Friis","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"3016","","PEARS","Concorde","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"3017","","PEARS","Conference","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","100052903",""
"3018","","PEARS","Durondeau","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"3019","","PEARS","Flamingo","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"3020","","PEARS","General Leclerc","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"3021","","PEARS","Guyot","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"3022","","PEARS","Josephine","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"3023","","PEARS","Passe Crassane","","Small","110 size and smaller","Average Fruit Weight = less than 180g","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"3024","","PEARS","Rocha","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"3025","","PEARS","Rosemarie","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"3026","","PEARS","Triumph de Vienne","","","","","","","","","Pyrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005903",""
"3027","","ORANGES","Shamouti","","","","","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889",""
"3028","","ORANGES","Delta Seedless","","Small","113 and smaller","Average Fruit Dimensions = less than 66mm","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889",""
"3029","","TANGERINES/MANDARINS","Satsuma","","","","","","This code can be used anyplace in the globe; however, there are other codes for this item that can be used outside of North America.","","","Citrus unshiu","1999-12-31 00:00:00","1999-12-31 00:00:00","10005887",""
"3030","","TANGERINES/MANDARINS","Nova","Includes Clemenvilla and Suntina","","","","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005888",""
"3031","","TANGERINES/MANDARINS","Jamaican Tangor","Includes Ortanique, Mandor, Mandora, Tambor, Topaz and Ortaline","","","","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005888",""
"3032","","TANGERINES/MANDARINS","Ellendale","","","","","","This code can be used anyplace in the globe; however, there are other codes for this item that can be used outside of North America.","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005888",""
"3033","","MELON","Charentais","","Small","","Average Fruit Weight =  less than 625g","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","10006181",""
"3034","","MELON","Charentais","","Large","","Average Fruit Weight =  625g and above","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","10006181",""
"3035","","NECTARINE","White Flesh, Tree Ripened, Ready-to-eat","","Large","66 size and larger","Average Fruit Weight =  185g and above","","","","","Prunus persica","1999-12-31 00:00:00","1999-12-31 00:00:00","10005911",""
"3036","","ORANGES","Midknight","","Small","113 size and smaller","Average Fruit Dimensions = less than 66mm","","","","","Citrus spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005889",""
"3037","","PINEAPPLE","Queen","","","","","","Sizes for pineapple based on two-layer lug.","","","Ananas comosus","1999-12-31 00:00:00","1999-12-31 00:00:00","10005935",""
"3038","","PASSION FRUIT","Granadilla","Orange","","","","","","","","Passiflorae.var. flavicarpa","1999-12-31 00:00:00","1999-12-31 00:00:00","10005951",""
"3039","","PHYSALIS/CAPE GOOSEBERRY/GROUND CHERRY","","","","","","","","","","Physalis spp.","1999-12-31 00:00:00","1999-12-31 00:00:00","10005965",""
